Borough,Population - 2020 GLA Estimate,Population - 2011 Census
City of London,8046,7400
Barking and Dagenham,218367,185900
Barnet,407148,356400
Bexley,254970,232000
Brent,343853,311200
Bromley,336395,309400
Camden,257384,220300
Croydon,400272,363400
Ealing,361833,338400
Enfield,342993,312500
Greenwich,292466,254600
Hackney,289488,246300
Hammersmith and Fulham,190721,182500
Haringey,288913,254900
Harrow,261348,239100
Havering,261830,237200
Hillingdon,316253,273900
Hounslow,284358,254000
Islington,242827,206100
Kensington and Chelsea,160794,158700
Kingston upon Thames,182728,160100
Lambeth,340324,303100
Lewisham,317465,275900
Merton,212658,199700
Newham,363552,308000
Redbridge,312264,279000
Richmond upon Thames,201713,187000
Southwark,330290,288300
Sutton,211297,190100
Tower Hamlets,328043,254100
Waltham Forest,290024,258200
Wandsworth,332731,307000
Westminster,259981,219400
